Region,Tipo_Suelo,Pendiente,Precipitacion,Recursos_Hidricos
Region_D,Arenoso,4.640574097616968,753.4025946082468,Medio
Region_D,Franco,40.6148808005805,917.8855085479379,Alto
Region_C,Franco,22.736356760153573,765.5157264151203,Alto
Region_A,Arcilloso,37.190585974848375,633.0538006355835,Medio
Region_D,Limoso,14.402232046377529,680.9538066509012,Bajo
Region_D,Limoso,40.29854528232902,1191.1681520490888,Bajo
Region_B,Limoso,17.51407554303734,809.5005776086888,Bajo
Region_D,Franco,0.4876943166134262,1046.404791572113,Alto
Region_D,Franco,40.74218893886687,1255.1259062822853,Medio
Region_B,Franco,4.10790045537601,1535.592242944048,Alto
Region_C,Arenoso,14.36911369156867,558.9682097616484,Bajo
Region_D,Arcilloso,42.75278851728622,1699.115598363564,Alto
Region_B,Franco,42.77732161219002,1441.8505842363616,Alto
Region_A,Arcilloso,25.804704965547874,622.6385479233079,Bajo
Region_C,Arcilloso,28.432674547640968,1810.3679361601658,Bajo
Region_A,Limoso,20.18004848902439,1881.3086007977197,Bajo
Region_A,Arenoso,13.194484726412904,591.6169397822956,Bajo
Region_B,Franco,14.789904541646218,915.3164722208055,Medio
Region_D,Limoso,30.263330523466728,1709.301919689592,Medio
Region_B,Limoso,33.8568538246956,1622.3895355754876,Bajo
Region_B,Franco,35.621056967663186,776.781529034566,Medio
Region_B,Arcilloso,35.53281642575492,814.0239850050655,Bajo
Region_B,Limoso,4.104274637191066,1055.708154187073,Bajo
Region_C,Arcilloso,22.248913711616165,1226.784477786532,Medio
Region_D,Arenoso,2.590144200748993,1427.382157295444,Medio
Region_A,Arcilloso,24.7287997045681,1053.3704593546586,Alto
Region_A,Arenoso,19.868872561801965,1193.8020741997218,Bajo
Region_D,Arcilloso,39.94668822412349,1621.2064072006349,Medio
Region_A,Limoso,15.791175564843542,555.0248043358969,Medio
Region_D,Limoso,5.268015739242264,878.6554165160312,Bajo
Region_A,Arenoso,6.4346256923776135,1570.0243788268288,Medio
Region_B,Franco,34.26797842728625,1842.810256530799,Bajo
Region_A,Arenoso,27.81981284923175,1267.516163173499,Bajo
Region_D,Arenoso,4.550520425525561,1298.1702278979735,Alto
Region_D,Arcilloso,3.7848062751748843,660.7580170096641,Alto
Region_D,Arcilloso,31.5436109156604,1171.1185502351818,Alto
Region_D,Arenoso,3.274335286388709,1298.9258996825347,Bajo
Region_D,Limoso,36.98370266806603,863.7057554520945,Bajo
Region_C,Arcilloso,31.78090022204233,903.8648464240714,Alto
Region_C,Franco,3.6606951288854894,1065.926244656934,Medio
Region_A,Arcilloso,3.8176971338336365,530.1067966665895,Bajo
Region_D,Arcilloso,44.3987810325529,983.1187483747674,Medio
Region_A,Franco,16.842185809025416,817.172010494817,Bajo
Region_D,Arenoso,16.678896618010093,991.2460282668719,Alto
Region_D,Franco,36.575980526587614,679.6431977288769,Bajo
Region_C,Arenoso,42.62618598227364,1835.7909211098424,Medio
Region_C,Arenoso,44.37004787202919,1390.388680331073,Bajo
Region_B,Arenoso,33.902018336652375,1518.6534787167343,Medio
Region_C,Franco,16.93168134889121,1683.7568579110075,Medio
Region_B,Arenoso,3.7575322514400944,1247.663298393586,Bajo
Region_B,Limoso,34.97161121673466,630.3804321311355,Alto
Region_B,Franco,25.128191238111228,1305.6598127278216,Alto
Region_B,Limoso,19.08999041611393,1380.2616770313186,Alto
Region_B,Arenoso,40.78594732926312,1618.159211276495,Alto
Region_A,Arcilloso,5.003886703776811,1147.4893193445191,Medio
Region_C,Arenoso,22.168129693088662,691.3704541933456,Alto
Region_B,Limoso,0.5109140145338581,925.6638586980866,Bajo
